UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,01/16/25,18:20,00AA014F,,00AA014F,11141455,,,,,,
rompkoh,01/16/25,18:20,00AA00FD,,00AA00FD,11141373,,,,,,
rompkoh,01/16/25,18:20,00AA0149,,00AA0149,11141449,,,,,,
rompkoh,01/16/25,18:20,00AA01BB,,00AA01BB,11141563,,,,,,
rompkoh,01/16/25,18:20,00AA0206,,00AA0206,11141638,,,,,,
rompkoh,01/16/25,18:20,00AA01B7,,00AA01B7,11141559,,,,,,
rompkoh,01/16/25,18:20,00AA08B6,,00AA08B6,11143350,,,,,,
rompkoh,01/16/25,18:20,00AA01DB,,00AA01DB,11141595,,,,,,
rompkoh,01/16/25,18:20,00AA01C2,,00AA01C2,11141570,,,,,,
rompkoh,01/16/25,18:20,00AA049E,,00AA049E,11142302,,,,,,
rompkoh,01/16/25,18:20,00AA01A0,,00AA01A0,11141536,,,,,,
rompkoh,01/16/25,18:20,00AA01A2,,00AA01A2,11141538,,,,,,
rompkoh,01/16/25,18:20,00aa0160,,00aa0160,11141472,,,,,,
rompkoh,01/16/25,18:20,00aa0105,,00aa0105,11141381,,,,,,
rompkoh,01/16/25,18:20,00aa0119,,00aa0119,11141401,,,,,,
rompkoh,01/16/25,18:20,00aa00e7,,00aa00e7,11141351,,,,,,
rompkoh,01/16/25,18:20,00aa011d,,00aa011d,11141405,,,,,,
rompkoh,01/16/25,18:20,00aa0157,,00aa0157,11141463,,,,,,
